experiment_id,area_under_curve,master_cpd_id
1,14.782,1788
1,13.327,3588
1,16.082,12877
1,13.743,19153
1,13.39,23256
1,14.385,25036
1,13.085,25334
1,13.897,25344
1,15.57,26870
1,14.399,26874
1,13.51,26914
1,10.56,26956
1,13.149,26972
1,13.231,26979
1,11.924,27871
1,13.098,27872
1,12.43,27894
1,13.034,28172
1,13.223,28183
1,12.87,28452
1,13.219,28784
1,10.176,28801
1,14.891,29985
1,10.846,30371
1,12.803,30620
1,14.245,32372
1,16.026,32622
1,13.537,33166
1,15.691,35319
1,6.8326,36599
1,6.8319,37190
1,14.252,37479
1,14.133,39782
1,15.926,44511
1,12.324,44554
1,9.4952,44580
1,11.516,46792
1,13.196,48589
1,13.619,50131
1,12.841,50134
1,15.967,50140
1,11.899,50163
1,13,50715
1,14.835,50727
1,11.694,50732
1,14.601,50737
1,15.841,50753
1,13.344,50769
1,12.701,52123
1,13.588,52430
1,13.527,52576
1,12.16,52582
1,9.0757,52882
1,15.157,52928
1,15.137,53556
1,4.669,54210
1,15.88,55307
1,15.74,55512
1,14.611,56703
1,14.505,58339
1,16.738,58442
1,14.873,58472
1,14.028,58566
1,10.62,60218
1,16.242,60679
1,11.285,61097
1,13.947,61674
1,11.34,61724
1,15,61775
1,10.609,62111
1,9.5178,62602
1,14.839,62690
1,12.932,63349
1,11.548,63578
1,13.732,96171
1,13.203,100490
1,13.435,102193
1,14.619,119769
1,12.206,122255
1,12.153,142931
1,14.239,153820
1,8.8989,154846
1,14.299,176181
1,15.793,182395
1,14.138,183526
1,16.309,185987
1,12.341,199337
1,14.649,255961
1,16.812,267119
1,14.185,272805
1,12.546,290356
1,13.872,345041
1,13.485,347775
1,14.262,347812
1,12.419,347813
1,15.399,348633
1,13.008,348997
1,12.432,349002
1,13.132,349006
1,14.113,351043
1,13.783,362063
1,11.051,362338
1,14.89,374747
1,12.174,374749
1,12.356,374750
1,13.634,374755
1,13.845,375256
1,9.4821,375264
1,14.757,375354
1,13.252,375366
1,14.302,375395
1,13.652,375447
1,13.778,375487
1,14.047,375492
1,14.115,375496
1,13.149,375562
1,12.758,375564
1,12.657,375594
1,16.133,375596
1,12.364,375637
1,14.836,376307
1,15,376693
1,13.156,377381
1,11.931,385240
1,13.974,387472
1,14.474,389297
1,15.634,397964
1,16.373,402775
1,16.247,404070
1,12.366,404452
1,11.728,404566
1,15.42,410270
1,14.277,410703
1,9.2209,411714
1,14.107,411716
1,15.66,411717
1,14.732,411719
1,13.439,411720
1,14.778,411722
1,14.004,411726
1,14.53,411727
1,11.896,411731
1,13.083,411733
1,12.703,411734
1,13.26,411737
1,14.556,411738
1,14.6,411739
1,13.191,411742
1,14.485,411749
1,10.35,411770
1,8.9452,411774
1,14.592,411792
1,14.203,411805
1,13.091,411809
1,17.316,411814
1,15.395,411815
1,14.71,411816
1,13.961,411820
1,12.316,411824
1,15.537,411827
1,14.939,411831
1,14.678,411832
1,13.95,411843
1,9.9803,411863
1,13.56,411865
1,14.612,411867
1,14.348,411869
1,16.449,411874
1,15.414,414479
1,16.086,415688
1,13.918,416775
1,13.71,416777
1,13.594,417098
1,14.58,417262
1,14.717,417415
1,12.847,417416
1,16.017,417417
1,13.075,417451
1,12.093,417452
1,14.381,417663
1,14.667,417818
1,14.107,417977
1,11.677,417979
1,12.525,417981
1,13.393,417982
1,11.881,418038
1,13.643,418162
1,14.9,418163
1,13.011,418164
1,10.515,418166
1,12.387,418167
1,14.137,418170
1,13.973,418172
1,12.708,418209
1,14.139,425733
1,14.929,429535
1,16.188,431987
1,16.947,434195
1,15.494,435086
1,16.112,435898
1,14.558,436211
1,15.892,437263
1,15.286,437906
1,16.88,438564
1,14.793,438691
1,14.814,438776
1,15.599,442141
1,11.884,444779
1,16.091,446546
1,16.481,446716
1,14.355,447732
1,12.955,448891
1,12.729,449707
1,12.118,450415
1,15.927,452570
1,16.862,463198
1,12.367,464880
1,13.126,481311
1,17.191,594399
1,14.16,594663
1,12.694,594664
1,12.134,594665
1,10.077,595102
1,14.496,596868
1,14.582,600054
1,13.118,606033
1,15.719,606034
1,13.173,606035
1,11.937,606135
1,11.096,606138
1,8.4447,606142
1,12.706,606143
1,8.6572,606144
1,14.929,606246
1,14.03,606248
1,8.6853,606249
1,9.2948,606254
1,15.628,606256
1,12.789,606356
1,11.973,606363
1,16.385,606586
1,14.546,606670
1,18.509,608062
1,14.574,608999
1,13.023,609056
1,12.986,609058
1,6.9401,609060
1,11.242,609061
1,12.45,609062
1,12.998,609063
1,14.695,609091
1,9.3628,609110
1,14.353,609121
1,13.7,609124
1,12.425,609332
1,10.841,609440
1,13.601,609596
1,10.916,609639
1,13.195,609674
1,15.637,609681
1,13.812,609781
1,16.023,616353
1,10.289,616354
1,15.701,616355
1,14.378,616408
1,13.615,622913
1,13.233,628408
1,13.237,628601
1,10.407,628607
1,13.416,628613
1,10.167,628614
1,13.845,628620
1,14.057,628622
1,13.635,628639
1,14.338,632103
1,10.739,632104
1,14.555,632119
1,8.4571,632243
1,11.482,632873
1,12.064,632907
1,13.465,634814
1,16.455,635576
1,14.136,635882
1,18.451,636425
1,13.456,636711
1,11.984,639390
1,14.374,639450
1,12.149,639531
1,11.141,639759
1,11.334,639962
1,13.055,640007
1,16.531,640011
1,12.145,640157
1,13.312,640265
1,14.035,641721
1,14.21,648987
1,14.169,649420
1,8.7508,649862
1,16.139,651304
1,12.675,651642
1,11.693,652975
1,14.062,657183
1,13.713,659371
1,13.119,659682
1,14.94,659993
1,15.091,660064
1,11.661,660073
1,12.737,660075
1,11.766,660078
1,15.724,660079
